ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุแก่งเสี้ยน,แก่งเสี้ยน,เมืองกาญจนบุรี,กาญจนบุรี,,"089-824270
034-624581",034-624581,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุปรังเผล,ปรังเผล,สังขละบุรี,กาญจนบุรี,,"034-683051
08-90099118",034-683051,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุทุ่งทอง,ทุ่งทอง ,ท่าม่วง,กาญจนบุรี,,034-698683,034-698683,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุท่าไม้,ท่าไม้ ,ท่ามะกา,กาญจนบุรี,,"034-641775
089-8372058 ",034-641775,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุตลาดเขต,รางหวาย,พนมทวน,กาญจนบุรี,,"034-571473
086-3036783 ",034-571473 ,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบ่อพลอย,บ่อพลอย ,บ่อพลอย ,กาญจนบุรี,,"034-628536
086-1739433",034-628536,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุไทรโยค **,ไทรโยค ,ไทรโยค ,กาญจนบุรี,,"034-684430
081-2564430",034-684430,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุท่าขนุน,ท่าขนุน ,ทองผาภูมิ,กาญจนบุรี,,"034-599306
081-7360302",034-599306,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองประดู่,หนองประดู่ ,เลาขวัญ,กาญจนบุรี,,"034-681024-6
081-7361610",034-681024,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุเอราวัณ,ท่ากระดาน ,ศรีสวัสดิ์,กาญจนบุรี,,"034-574201-2
082-2919148",034-574201,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุกลอนโด,กลอนโด ,ด่านมะขามเตี้ย,กาญจนบุรี,,"034 - 657193
081-3783815",034-657193,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองปรือ,หนองปรือ ,หนองปรือ ,กาญจนบุรี,,"034-645200
087-9150826",034-645200,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุวังไผ่,วังไผ่,ห้วยกระเจา,กาญจนบุรี,,"034-650120
089-3796930",034-650120,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองลาน ,หนองลาน,ท่ามะกา,กาญจนบุรี,,034-510612,034-510613,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองบัว,หนองบัว ,เมืองจันทบุรี,จันทบุรี,,039-450353,039-450353,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุตะปอน **,ตะปอน,ขลุง,จันทบุรี,,"089-1795007
039-426017",039-426017,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุวังใหม่,วังใหม่ ,นายายอาม,จันทบุรี,,039-491634,039-491634,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุปัถวี,ปัถวี,มะขาม,จันทบุรี,,"087-1296440
039-317039",039-317039,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุปะตง,ปะตง,สอยดาว,จันทบุรี,,039-364214,039-364214,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุคลองใหญ่,คลองใหญ่ ,โป่งน้ำร้อน,จันทบุรี,,"080-0164397
039-447012",039-447012,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบางกะไชย,บางกะไชย ,แหลมสิงห์,จันทบุรี,,"089-092-2977
039-456342",039-456342,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุเขาบายศรี,เขาบายศรี,ท่าใหม่,จันทบุรี,,039-495025,039-495025,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุสามพี่น้อง,สามพี่น้อง ,แก่งหางแมว,จันทบุรี,,039-490645,039-490645,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุตะเคียนทอง,ตะเคียนทอง ,เขาคิชฌกูฏ,จันทบุรี,,039-326360,039-326360,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุนครเนื่องเขต,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,,038-814444,038-814444,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองยาว,หนองยาว ,พนมสารคาม,ฉะเชิงเทรา,,056-209020,056-209020,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบ้านซ่อง **,บ้านซ่อง ,พนมสารคาม,ฉะเชิงเทรา,,038-520706,038-520706,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุสิบเอ็ดศอก,สิบเอ็ดศอก  ,บ้านโพธิ์,ฉะเชิงเทรา,,038-587620,038-587620,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหอมศีล,หอมศีล,บางปะกง,ฉะเชิงเทรา,,038-571935,038-571935,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุคลองเขื่อน,คลองเขื่อน,คลองเขื่อน,ฉะเชิงเทรา,,0-38-509-137 ,038-509-137 ต่อ 18,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบางคา,บางคา,ราชสาส์น,ฉะเชิงเทรา,,038-591462,038-591462,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุเสม็ดใต้,เสม็ดใต้ ,บางคล้า,ฉะเชิงเทรา,,038-584130,038-584130,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหัวสำโรง,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,,038-575454,038-575454,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุท่าตะเกียบ,ท่าตะเกียบ,ท่าตะเกียบ,ฉะเชิงเทรา,,038-508110,038-508110,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุทุ่งพระยา,ทุ่งพระยา,สนามชัยเขต,ฉะเชิงเทรา,,038-552433,038-552433,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบึงน้ำรักษ์,บึงน้ำรักษ์,บางน้ำเปรี้ยว,ฉะเชิงเทรา,,038-502182,038-502182,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองปรือ,หนองปรือ,บางละมุง,ชลบุรี,,038-249820,038-249820,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุทต.ท่าบุญมี,ท่าบุญมี,เกาะจันทร์,ชลบุรี,,"038-208827-8
038-209765 ",038-208826,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบ้านบึง,บ้านบึง,บ้านบึง,ชลบุรี,,038-443999,038-443999,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบ้านสวน,บางปลาสร้อย,เมืองชลบุรี,ชลบุรี,,038-282418,038-282418,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองใหญ่,หนองใหญ่,หนองใหญ่,ชลบุรี,,038-219479,038-219479,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุธาตุทอง,ธาตุทอง,บ่อทอง,ชลบุรี,,038-363077,038-363077,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุเกาะสีชัง,ท่าเทววงษ์,เกาะสีชัง,ชลบุรี,,038-216141,038-216141,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุเจ้าพระยาสุรศักดิ์,หนองขาม,ศรีราชา,ชลบุรี,,038-348205-7,038-348205,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุพลูตาหลวง,พลูตาหลวง,สัตหีบ,ชลบุรี,,038-245530,038-245530,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองเหียง,หนองเหียง,พนัสนิคม,ชลบุรี,,038-164041,038-164041,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหน้าประดู่,หน้าประดู่,พานทอง,ชลบุรี,,038-263638,038-263638,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุอบต.ท่าบุญมี ,ท่าบุญมี,เกาะจันทร์,ชลบุรี,,038-209036,038-209036,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบ้านกล้วย,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,,"056-414570,0564-14569",0564-14569,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุห้วยงู,ห้วยงู,หันคา,ชัยนาท,,056-489356,056-489356,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุดงคอน,ดงคอน,สรรคบุรี,ชัยนาท,,056-471334,056-471334,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหางน้ำสาคร,หางน้ำสาคร,มโนรมย์,ชัยนาท,,056-491535,056-491535,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุสรรพยา,สรรพยา,สรรพยา,ชัยนาท,,056-49937,056-49937,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหาดอาษา **,หาดอาษา,สรรพยา,ชัยนาท,,056-432584,056-432584,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองมะโมง,หนองมะโมง,หนองมะโมง,ชัยนาท,,056-466215,056-466215,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุสุขเดือนห้า,สุขเดือนห้า,เนินขาม,ชัยนาท,,056-415125,056-415125,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุวังหมัน,วังหมัน,วัดสิงห์,ชัยนาท,,056-415231,056-415231,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุห้วยแร้ง,ห้วยแร้ง,เมืองตราด,ตราด,,039-524691,039-524691,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองเสม็ด,หนองเสม็ด,เมืองตราด,ตราด,,039-542427,039-542427,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุประณีต **,ประณีต,เขาสมิง,ตราด,,039-672055,039-672055,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุวังตะเคียน,วังตะเคียน,เขาสมิง,ตราด,,039-673071,039-673071,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองบอน,หนองบอน,บ่อไร่,ตราด,,039-545281,039-545281,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหาดเล็ก,หาดเล็ก,คลองใหญ่,ตราด,,039-544485,039-544485,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบางปิด,บางปิด,แหลมงอบ,ตราด,,039-547291,039-547291,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุวังกระโจม,วังกระโจม,เมืองนครนายก,นครนายก,,037-314391,037-314391,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบ้านนา,บ้านนา,บ้านนา,นครนายก,,037-382842,037-382842,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุพระอาจารย์,พระอาจารย์,องครักษ์,นครนายก,,037-610560,037-610560,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหนองแสง ** ,หนองแสง,ปากพลี,นครนายก,,037-347301,037-347301,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุสนามจันทร์,สนามจันทร์,เมืองนครปฐม,นครปฐม,,034-271156,034-271156,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุเมืองกระทุ่มล้ม,กระทุ่มล้ม,สามพราน,นครปฐม,,02-4973952,02-4973952,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุสระสี่มุม,สระสี่มุม,กำแพงแสน,นครปฐม,,034-352057,034-352057,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบางระกำ **,บางระกำ,นครชัยศรี,นครปฐม,,034-206925,034-206925,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุนครนนทบุรี,บางกระสอ,เมืองนนทบุรี,นนทบุรี,,02-5890500,02-5890500,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุท่าอิฐ,ท่าอิฐ,ปากเกร็ด,นนทบุรี,,02-5258257,02-5017875,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบางบัวทอง,บางบัวทอง,บางบัวทอง,นนทบุรี,,02-1575620-4 ,02-1572625,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุลำโพ **,ลำโพ,บางบัวทอง,นนทบุรี,,02-1941001,02-1941002,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบางสีทอง,บางสีทอง,บางกรวย,นนทบุรี,,02-4467684 ,02-4467684  ต่อ 106,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุเสาธงหิน,เสาธงหิน,บางใหญ่,นนทบุรี,,02-5950252,02-5950252,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุราษฎร์นิยม,ราษฎร์นิยม,ไทรน้อย,นนทบุรี,,02-9855194-5,02-985519,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบางพูด ,บางพูด,เมืองปทุมธานี,ปทุมธานี,,02-9788088,02-9750788,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุนครรังสิต,ประชาธิปัตย์,ธัญบุรี,ปทุมธานี,,02-5676000,02-5676000,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุลำลูกกา,บึงคำพร้อย,ลำลูกกา,ปทุมธานี,,02-1923357-8 ,02-1923360,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุคลองสาม,คลองสาม,คลองหลวง,ปทุมธานี,,02-5240752,02-5240752,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุบึงกาสาม,บึงกาสาม,หนองเสือ,ปทุมธานี,,02-9058771-2 ,02-9058771,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุคูบางหลวง,คูบางหลวง,ลาดหลุมแก้ว,ปทุมธานี,,02-5983435-6,02-5983435,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุกระแชง,กระแชง,สามโคก,ปทุมธานี,,"02-9781197
084-1192359",02-9781197,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุหัวหิน,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,,"032-511047, 
032-511347",032-511347,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุปราณบุรี,เขาน้อย,ปราณบุรี,ประจวบคีรีขันธ์,,032-651801 ,032-651802,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุไร่เก่า ,ไร่เก่า,สามร้อยยอด,ประจวบคีรีขันธ์,,032-689188,032-689188,,,,,,,,,,,,,,,,,,,
ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุดอนยายหนู,ดอนยายหนู,กุยบุรี,ประจวบคีรีขันธ์,,032-821108 ,032-821109,,,,,,,,,,,,,,,,,,,
